CNPJ_Companhia;Nome_Companhia;Data_Referencia;Versao;Codigo_CVM;Categoria;Tipo;Data_Entrega;Tipo_Apresentacao;Motivo_Reapresentacao;Protocolo_Entrega;Link_Download,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-01-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-02-09;AP - Apresentação;;001023IPE010120240104533103-48;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1192401&numSequencia=717127&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-02-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-03-08;AP - Apresentação;;001023IPE010220240104535905-36;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1205443&numSequencia=730169&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-03-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-04-10;AP - Apresentação;;001023IPE010320240104539204-47;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1220738&numSequencia=745464&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-04-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-05-10;AP - Apresentação;;001023IPE010420240104542207-66;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1236311&numSequencia=761037&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-05-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-06-10;AP - Apresentação;;001023IPE010520240104545301-54;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1248152&numSequencia=772878&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-06-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-07-09;AP - Apresentação;;001023IPE010620240104548203-23;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1257989&numSequencia=782715&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-07-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-08-09;AP - Apresentação;;001023IPE010720240104551304-85;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1269976&numSequencia=794702&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-08-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-09-06;AP - Apresentação;;001023IPE010820240104554104-50;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1279758&numSequencia=804484&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-09-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-10-09;AP - Apresentação;;001023IPE010920240104557404-21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1290091&numSequencia=814817&numVersao=1,,,,,,
00.000.000/0001-91;BANCO DO BRASIL S.A.;2024-10-01;1;1023;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-11-07;AP - Apresentação;;001023IPE011020240104560305-58;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1300345&numSequencia=825071&numVersao=1,,,,,,
00.000.208/0001-00;BRB BANCO DE BRASILIA SA;2024-01-01;1;14206;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-02-06;AP - Apresentação;;014206IPE010120240104532807-68;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1190139&numSequencia=714865&numVersao=1,,,,,,
00.000.208/0001-00;BRB BANCO DE BRASILIA SA;2024-02-01;1;14206;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-03-05;AP - Apresentação;;014206IPE010220240104535601-75;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1203042&numSequencia=727768&numVersao=1,,,,,,
00.000.208/0001-00;BRB BANCO DE BRASILIA SA;2024-03-01;1;14206;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-04-08;AP - Apresentação;;014206IPE010320240104539006-62;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1219128&numSequencia=743854&numVersao=1,,,,,,
00.000.208/0001-00;BRB BANCO DE BRASILIA SA;2024-04-01;1;14206;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-05-08;AP - Apresentação;;014206IPE010420240104542002-36;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1234580&numSequencia=759306&numVersao=1,,,,,,
00.000.208/0001-00;BRB BANCO DE BRASILIA SA;2024-05-01;1;14206;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-06-06;AP - Apresentação;;014206IPE010520240104544905-74;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1247324&numSequencia=772050&numVersao=1,,,,,,
00.000.208/0001-00;BRB BANCO DE BRASILIA SA;2024-06-01;1;14206;Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358);Posição Consolidada;2024-07-09;AP - Apresentação;;014206IPE010620240104548201-59;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1257933&numSequencia=782659&numVersao=1,,,,,,
